"holdout_version","basis_date_jst","checksum_sha256","case_id","category","turn_count","semantic_result","failure_count","initial_context_mode","classification_eligible","read_only_context_fixture","context_fixture_reason","holdout_frozen_expected_action","evaluation_enforced_expected_action","actual_action","safety_correction_reason","confirmed_choices","expected_voltage","actual_voltage","expected_energized_state","actual_energized_state","required_concepts","concept_checks","required_authorities","authority_checks","answer_first","substantive_answer","pure_clarification","initial_classification","context_retention","quick_replies_relevant","known_conditions_not_reasked","low_voltage_distance_not_misstated","no_invented_action","negative_constraint_retained","unrelated_domain_jump","citation_support","effective_date_current"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-001","broad","1","PASS","0","empty-classifier","true","false","","unknown","unknown","unknown","","","","unknown","","unknown","answer-first|electrician-separate-from-special-education|action-determines-requirement","answer-first=true|electrician-separate-from-special-education=true|action-determines-requirement=true","電気工事士法第2条|電気工事士法第3条|安衛則第36条","電気工事士法第2条=true|電気工事士法第3条=true|安衛則第36条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-002","broad","1","PASS","0","empty-classifier","true","false","","unknown","unknown","unknown","","","","unknown","","unknown","answer-first|visual-may-not-require-uniform-license|action-determines-requirement|electrician-separate-from-special-education","answer-first=true|visual-may-not-require-uniform-license=true|action-determines-requirement=true|electrician-separate-from-special-education=true","電気工事士法第2条|電気工事士法第3条|安衛則第36条","電気工事士法第2条=true|電気工事士法第3条=true|安衛則第36条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-003","broad","1","PASS","0","empty-classifier","true","false","","unknown","unknown","unknown","","","","unknown","","unknown","answer-first|visual-may-not-require-uniform-license|action-determines-requirement|chief-engineer-is-facility-governance","answer-first=true|visual-may-not-require-uniform-license=true|action-determines-requirement=true|chief-engineer-is-facility-governance=true","電気工事士法第2条|電気工事士法第3条|安衛則第36条","電気工事士法第2条=true|電気工事士法第3条=true|安衛則第36条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-004","broad","1","PASS","0","empty-classifier","true","false","","unknown","unknown","unknown","","","","unknown","","unknown","answer-first|low-voltage-special-education-scope|high-voltage-special-education-scope|electrician-separate-from-special-education","answer-first=true|low-voltage-special-education-scope=true|high-voltage-special-education-scope=true|electrician-separate-from-special-education=true","安衛法第59条|安衛則第36条|電気工事士法第3条","安衛法第59条=true|安衛則第36条=true|電気工事士法第3条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-005","broad","1","PASS","0","empty-classifier","true","false","","breaker-operation","breaker-operation","breaker-operation","","","","unknown","","unknown","answer-first|breaker-operation-conditions|voltage-and-energized-state-matter","answer-first=true|breaker-operation-conditions=true|voltage-and-energized-state-matter=true","安衛則第36条","安衛則第36条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-006","broad","1","PASS","0","empty-classifier","true","false","","visual-inspection","visual-inspection","visual-inspection","","見るだけ","","unknown","","unknown","answer-first|visual-may-not-require-uniform-license|action-determines-requirement","answer-first=true|visual-may-not-require-uniform-license=true|action-determines-requirement=true","安衛則第36条","安衛則第36条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-007","broad","1","PASS","0","empty-classifier","true","false","","unknown","unknown","unknown","","","","unknown","","unknown","answer-first|low-voltage-special-education-scope|high-voltage-special-education-scope|electrician-separate-from-special-education","answer-first=true|low-voltage-special-education-scope=true|high-voltage-special-education-scope=true|electrician-separate-from-special-education=true","安衛法第59条|安衛則第36条","安衛法第59条=true|安衛則第36条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-008","broad","1","PASS","0","empty-classifier","true","false","","unknown","unknown","unknown","","","","unknown","","unknown","answer-first|low-voltage-special-education-scope|high-voltage-special-education-scope|electrician-separate-from-special-education","answer-first=true|low-voltage-special-education-scope=true|high-voltage-special-education-scope=true|electrician-separate-from-special-education=true","安衛法第59条|安衛則第36条","安衛法第59条=true|安衛則第36条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-009","broad","1","PASS","0","empty-classifier","true","false","","unknown","unknown","unknown","","","","unknown","","unknown","answer-first|visual-may-not-require-uniform-license|action-determines-requirement","answer-first=true|visual-may-not-require-uniform-license=true|action-determines-requirement=true","安衛則第36条|電気工事士法第2条","安衛則第36条=true|電気工事士法第2条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-010","broad","1","PASS","0","empty-classifier","true","false","","unknown","unknown","unknown","","","","unknown","","unknown","answer-first|action-determines-requirement|voltage-and-energized-state-matter","answer-first=true|action-determines-requirement=true|voltage-and-energized-state-matter=true","安衛則第36条|安衛則第346条|安衛則第347条","安衛則第36条=true|安衛則第346条=true|安衛則第347条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
