"record_id","正式名称","発行主体","文書番号","URL","取得日","確認日","hash","後継URL","状態","reviewer","適用先","公開可否","注記"
"mhlw-osh","厚生労働省 安全・衛生","厚生労働省","","https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/koyou_roudou/roudoukijun/anzen/index.html","2026-07-24","","","","URL確認のみ","","法令;通達;資格;安全衛生施策","公開可","個別文書の本文確認状態は別管理。URL確認を内容確認として表示しない。"
"egov-laws","e-Gov 法令検索","デジタル庁","","https://laws.e-gov.go.jp/","2026-07-24","","","","URL確認のみ","","法律;政令;省令;条文;法令番号;施行時点;改廃履歴","公開可","法令本文・法令番号・施行時点の正本入口。"
"mhlw-anzeninfo","職場のあんぜんサイト","厚生労働省","","https://anzeninfo.mhlw.go.jp/","2026-07-24","","","","URL確認のみ","","公式事故情報;死亡災害;化学物質;教育資料","公開可","個別事故はcaseIdと個票URLが一致するレコードだけをofficial表示する。"
"mhlw-law-db","厚生労働省 法令等データベースサービス","厚生労働省","","https://www.mhlw.go.jp/hourei/","2026-07-24","","","","URL確認のみ","","通知;通達;告示;省令","公開可","収録準備中を含む更新状態は同サービスの表示を正本とする。"
"jma-warning","気象庁 防災情報（警報・注意報）","気象庁","","https://www.jma.go.jp/bosai/warning/","2026-07-24","","","","URL確認のみ","","気象警報;注意報;今日の安全;サイネージ","公開可","警報の最終判断は気象庁最新表示。取得不能時は警報なしと表示しない。"
"open-meteo","Open-Meteo Weather API","Open-Meteo","","https://open-meteo.com/","2026-07-24","","","","URL確認のみ","","気温予報;降水予報;風速予報;WBGT推定入力","公開可","気象庁公式警報ではなく補助予報。実測と推定を分離する。"
"nite-chrip","NITE 化学物質総合情報提供システム（NITE-CHRIP）","独立行政法人製品評価技術基盤機構","","https://www.nite.go.jp/chem/chrip/chrip_search/systemTop","2026-07-24","","","","URL確認のみ","","CAS番号;化学物質名称;法規制;有害性","公開可","製品固有の組成・版・使用条件はメーカー発行SDSを別途確認する。"
"create-simple","CREATE-SIMPLE","厚生労働省","","https://anzeninfo.mhlw.go.jp/ras/user/anzen/kag/default.aspx","2026-07-24","","","","URL確認のみ","","化学物質リスクアセスメント","公開可","本サイトの独自簡易スクリーニングとは別の公式支援ツール。数値互換・準拠・同等を主張しない。"
"jaish-law-search","安全衛生情報センター 法令・通達検索","中央労働災害防止協会","","https://www.jaish.gr.jp/anzen_pg/HOU_FND.aspx","2026-07-24","","","","URL確認のみ","","通達検索;安全衛生情報;教育資料","公開可","便利な二次検索入口。所管省庁の個別原文を一次資料として確認する。"
"customer-harassment-act","労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律","e-Gov法令検索","昭和41年法律第132号（令和7年法律第63号による改正）","https://laws.e-gov.go.jp/law/341AC0000000132","2026-07-24","","","","URL確認のみ","","カスタマーハラスメント防止措置;法改正","公開可","統合法令の正本入口。施行時点と個別適用はe-Govの現行表示を確認し、内容確認済みとは表示しない。"
"customer-harassment-guideline","事業主が職場における顧客等の言動に起因する問題に関して雇用管理上講ずべき措置等についての指針","厚生労働省","令和8年厚生労働省告示第51号","https://www.mhlw.go.jp/web/t_doc?dataId=75ac0814&dataType=0&pageNo=1","2026-07-24","","","","URL確認のみ","","カスタマーハラスメント防止措置;指針","公開可","公式掲載URL・告示番号への入口。内容の専門家確認とhash取得は未了。"
"mhlw-heat-rule-612-2","労働安全衛生規則（第612条の2）","厚生労働省（e-Gov法令検索掲載）","昭和47年労働省令第32号","https://laws.e-gov.go.jp/law/347M50002000032","2026-07-24","","","","URL確認のみ","","熱中症;報告体制;悪化防止手順;省令","公開可","現行法令の正本入口。個別適用と条文内容の外部法務レビューは未了。"
"mhlw-heat-notice-0520-6","労働安全衛生規則の一部を改正する省令の施行等について","厚生労働省","基発0520第6号","https://www.mhlw.go.jp/content/11303000/001490911.pdf","2026-07-26","2026-07-26","73f5bd365128cf6a033293b6d2e64bbbd469bf38bed1a3e0e73a2a9d3d688615","","公式PDF snapshot/hash整合・外部レビュー待ち","Codex（公式掲載導線・PDF bytes・locator照合）","熱中症;施行通達;対象作業;安衛則第612条の2","公開可","厚労省公式掲載ページから直接リンクされた32ページPDFを固定。PDF 2ページ第3 1(1)イで28度/31度、継続1時間/1日4時間超を照合。外部法務・編集・医学レビューは未了。"
"mhlw-heat-guideline-0318-1","職場における熱中症防止対策のためのガイドライン","厚生労働省","基発0318第1号","https://www.mhlw.go.jp/web/t_doc?dataId=00tc9896&dataType=1&pageNo=1","2026-07-24","2026-07-26","","","対象主張を公式HTMLで照合・本文snapshot/hash未収録","Codex（対象主張のURL照合）","熱中症;WBGT;作業環境管理;作業管理;健康管理","公開可","策定日・文書番号・旧基発0420第3号の廃止を公式HTMLで対象照合。推奨を追加の法定義務として扱わない。外部法務レビュー未了。"
"moe-wbgt-details","当サイトで提供する暑さ指数（WBGT）について","環境省","","https://www.wbgt.env.go.jp/wbgt_detail.php","2026-07-24","","","","URL確認のみ","","WBGT;実測値;実況推定値;予測値","公開可","地域値を作業地点の現場実測として表示しない。"
"mhlw-heat-emergency-response","職場でおこる熱中症・熱中症者への対応","厚生労働省","","https://neccyusho.mhlw.go.jp/heatstroke/","2026-07-24","2026-07-26","","","対象主張を公式HTMLで照合・医学レビュー未了","Codex（対象主張のURL照合）","熱中症;意識確認;身体冷却;119番通報;応急対応","公開可","意識がはっきりしない場合と自力飲水不能時の救急要請を公式HTMLで対象照合。医療診断や個別治療の正本ではなく、外部医学レビューは未了。"
"mhlw-heat-statistics","職場における熱中症による死傷災害の発生状況","厚生労働省","","https://neccyusho.mhlw.go.jp/heatstroke/","2026-07-24","2026-07-26","","","2016〜2025年の公式掲載表を対象照合・転記の人手確認待ち","Codex（対象主張のURL照合）","熱中症;死亡災害;休業災害;年別統計","公開可","死亡者と休業4日以上の業務上疾病者を合算する定義、2025年1,803人（死亡19人）を公式HTMLで対象照合。syntheticや報道値を混在させない。"
"mhlw-heat-learning","動画で学ぶ職場における熱中症予防対策（令和2年度版）","厚生労働省","","https://neccyusho.mhlw.go.jp/study/","2026-07-24","","","","URL確認のみ","","熱中症;教育;eラーニング","公開可","令和2年時点の情報を含むため、2026年現行ガイドラインも別途確認する。"
"fdma-aed-first-aid","一般市民向け応急手当WEB講習・心肺蘇生とAED","消防庁","","https://www.fdma.go.jp/relocation/kyukyukikaku/oukyu/05kobetsu/index.html","2026-07-24","2026-07-26","","","公式学習導線を確認・動画内容の人手確認待ち","Codex（公式導線のURL照合）","119番通報;心肺蘇生;AED;応急手当","公開可","反応確認、119番通報とAED依頼、呼吸確認、胸骨圧迫、AED、熱中症対応の公式学習導線を確認。動画本文の医学レビューは未了。熱中症の診断や治療の正本ではない。"
