calculatorId,slug,title,category,formulaVersion,formula,supportedUnits,roundingRule,sourceIds,checkedAt,riskLevel,clientOnly
concrete-quantity,concrete-quantity,コンクリート数量・生コン車台数,数量,1.0.0,"直方体V=L×W×H | 円柱V=π×(D/2)²×H | 必要量=V×個数×(1+ロス率/100) | 台数=ceil(必要量/積載量)","mm|cm|m|m³|%|台",最終値を指定0〜6桁でhalf-up/切上げ/切捨て・台数は整数切上げ,"SRC-MLIT-R8-QUANTITY|SRC-MATH-EUCLIDEAN-GEOMETRY",2026-08-27,low,true
excavation-backfill,excavation-backfill,掘削・埋戻し土量,土工,1.0.0,"鉛直V=LWH | 法付き溝V=L(WD+mD²) | 四辺法付きV=D{LW+mD(L+W)+(4/3)m²D²} | 埋戻し=掘削−控除","mm|cm|m|L|m³",最終値を指定0〜6桁でhalf-up/切上げ/切捨て,"SRC-MLIT-R8-QUANTITY|SRC-MATH-EUCLIDEAN-GEOMETRY",2026-08-27,low,true
average-end-area,average-end-area,平均断面法による土量,土工,1.0.0,"Vᵢ=(Aᵢ+Aᵢ₊₁)/2×Lᵢ | V=ΣVᵢ","mm²|cm²|m²|mm|cm|m|m³",未丸め区間値を合計後に指定0〜6桁で丸め,"SRC-MLIT-R8-QUANTITY|SRC-MATH-EUCLIDEAN-GEOMETRY",2026-08-27,low,true
earthwork-conversion-dump-trucks,earthwork-conversion-dump-trucks,土量変化・ダンプ台数,土工,1.0.0,"ほぐし=地山×L | 締固め後=地山×C | 重量=指定状態体積×密度 | 台数=ceil(重量/有効積載)","L|m³|kg/m³|t/m³|kg|t|%|台",最終値を指定0〜6桁で丸め・台数は整数切上げ,"SRC-MLIT-EARTHWORK-LC|SRC-MLIT-R8-QUANTITY",2026-08-27,low,true
aggregate-base-quantity,aggregate-base-quantity,砕石・路盤材数量,材料,1.0.0,"正味体積=面積×厚さ | 必要体積=正味×(1+ロス率/100) | 重量=必要体積×密度 | 台数=ceil(重量/積載量)","mm²|cm²|m²|mm|cm|m|kg/m³|t/m³|kg|t|%|台",最終値を指定0〜6桁で丸め・台数は整数切上げ,"SRC-MLIT-R8-QUANTITY|SRC-MATH-EUCLIDEAN-GEOMETRY",2026-08-27,low,true
asphalt-mixture-quantity,asphalt-mixture-quantity,アスファルト混合物数量,材料,1.0.0,"正味体積=面積×舗装厚 | 必要体積=正味×(1+ロス率/100) | 重量=必要体積×変更可能密度 | 台数=ceil(重量/積載量)","mm²|cm²|m²|mm|cm|m|kg/m³|t/m³|kg|t|%|台",最終値を指定0〜6桁で丸め・台数は整数切上げ,"SRC-MLIT-R8-QUANTITY|SRC-MATH-EUCLIDEAN-GEOMETRY",2026-08-27,low,true
rebar-weight,rebar-weight,鉄筋重量,材料,1.0.0,"断面積=π×(d/1000)²/4 | kg/m=断面積×7850 | 総重量=kg/m×長さ×本数","mm|cm|m|kg/m|kg|t",最終値を指定0〜6桁でhalf-up/切上げ/切捨て,"SRC-MLIT-R8-QUANTITY|SRC-MATH-EUCLIDEAN-GEOMETRY",2026-08-27,low,true
rebar-spacing,rebar-spacing,鉄筋本数・配筋ピッチ,材料,1.1.0,"中心間有効幅=施工幅−左かぶり−右かぶり−鉄筋径 | 区間数=ceil(有効幅/指定ピッチ) | 本数=区間数+1 | 中心間隔=有効幅/区間数","mm|cm|m|本|kg",最終値を指定0〜6桁で丸め・区間数は整数切上げ,"SRC-MLIT-R8-COMMON-SPEC|SRC-MATH-EUCLIDEAN-GEOMETRY",2026-08-27,low,true
formwork-area,formwork-area,型枠面積,数量,1.0.0,"基礎/柱=2LH+2WH | 梁=2LH+LW | 壁/床版端部=LH×面数 | 任意面=LW×面数 | 合計=(面別合計−控除)×個数","mm|cm|m|mm²|cm²|m²",最終値を指定0〜6桁でhalf-up/切上げ/切捨て,"SRC-MLIT-R8-QUANTITY|SRC-MATH-EUCLIDEAN-GEOMETRY",2026-08-27,low,true
slope-angle-length,slope-angle-length,勾配・角度・斜長,測量・勾配,1.0.0,"grade=rise/run | %=grade×100 | ‰=grade×1000 | n=1/|grade| | angle=atan(grade) | sloped=√(run²+rise²)","mm|cm|m|%|‰|1:n|°",最終値を指定0〜6桁でhalf-up/切上げ/切捨て,SRC-MATH-EUCLIDEAN-GEOMETRY,2026-08-27,low,true
drainage-slope,drainage-slope,排水勾配・必要高低差,測量・勾配,1.0.0,"差=延長×grade | 始点→終点:end=start−差 | 終点→始点:start=end−差 | 区間標高=線形補間","mm|cm|m|%|‰|1:n",最終値を指定0〜6桁でhalf-up/切上げ/切捨て,SRC-MATH-EUCLIDEAN-GEOMETRY,2026-08-27,low,true
scale-coordinate,scale-coordinate,図面縮尺・座標距離・方位角,測量・図面,1.0.0,"実寸=図上寸法×N | 図上寸法=実寸/N | ΔX=X₂−X₁ | ΔY=Y₂−Y₁ | 距離=√(ΔX²+ΔY²) | 方位角=atan2(ΔY,ΔX) mod 360","mm|cm|m|°",最終値を指定0〜6桁でhalf-up/切上げ/切捨て,"SRC-GSI-PLANAR-DIRECTION|SRC-MATH-EUCLIDEAN-GEOMETRY",2026-08-27,low,true
