"claim ID","ページ","セクション","表示文","主張分類","法的主張","医学的主張","編集上の主張","一次資料","文書番号","発行主体","URL","引用箇所","取得日","hash","サイトの解釈","reviewer","review status","修正内容","公開可否","index可否"
"HL-L-001","/heat-illness-prevention/r7-compliance","法定2項目・報告体制 / source: web/src/data/heat-illness-rules/r7-compliance.ts","作業者が熱中症の自覚症状を感じた場合、又は周囲が熱中症の疑いを発見した場合に、あらかじめ定めた担当者へ直ちに報告できる体制を整備し、作業者へ周知する。","法令上の義務","yes","no","yes","労働安全衛生規則","昭和47年労働省令第32号・第612条の2","厚生労働省 / e-Gov","https://laws.e-gov.go.jp/law/347M50002000032","第612条の2第1項・第2項","2026-07-24","pending-source-snapshot","対象作業・義務主体・二つの措置を省令本文に限定して説明している。個別事業場への適用判断はしない。","","pending","","pending","no"
"HL-L-002","/heat-illness-prevention/r7-compliance","法定2項目・悪化防止手順 / source: web/src/data/heat-illness-rules/r7-compliance.ts","作業場ごとに、作業からの離脱、身体の冷却、必要に応じた医師の診察・処置その他の症状悪化防止措置と実施手順を定め、作業者へ周知する。","法令上の義務","yes","yes","yes","労働安全衛生規則","昭和47年労働省令第32号・第612条の2","厚生労働省 / e-Gov","https://laws.e-gov.go.jp/law/347M50002000032","第612条の2第1項・第2項","2026-07-24","pending-source-snapshot","条文に列挙された措置を短い現場語へ要約している。医療行為の指示とは扱わない。","","pending","","pending","no"
"HL-L-003","/heat-illness-prevention/elearning","問1・二つの義務 / source: web/src/data/heat-illness-learning/questions.ts","第1項は異常を直ちに報告できる体制の整備・周知、第2項は作業離脱、身体冷却、必要に応じた医師の診察等を含む悪化防止手順の作成・周知です。","法令理解クイズ","yes","yes","yes","労働安全衛生規則","昭和47年労働省令第32号・第612条の2","厚生労働省 / e-Gov","https://laws.e-gov.go.jp/law/347M50002000032","第612条の2第1項・第2項","2026-07-24","pending-source-snapshot","クイズ正答を条文の二項構造へ対応させる。受講完了を法定教育や資格取得と扱わない。","","pending","","pending","no"
"HL-L-004","/heat-illness-prevention/r7-compliance","法定義務と予防策の区別 / source: web/src/app/(main)/heat-illness-prevention/r7-compliance/r7-compliance-client.tsx","法定義務は上記2項目です。下のテンプレートに含まれるWBGT測定、暑熱順化、教育等は重要な予防策ですが、第612条の2の追加の項として表示していません。本チェックリストは自主点検用です。","施行通達による対象目安","yes","no","yes","労働安全衛生規則の一部を改正する省令の施行等について","基発0520第6号","厚生労働省労働基準局長","https://www.mhlw.go.jp/content/11303000/001490911.pdf","PDF 2頁・第3 細部事項・1 改正省令関係・(1) 共通事項・イ","2026-07-26","sha256:73f5bd365128cf6a033293b6d2e64bbbd469bf38bed1a3e0e73a2a9d3d688615","省令本文の一律数値基準ではなく、通達が示す対象作業の目安として表示する。","","pending","","pending","no"
"HL-L-005","/heat-illness-prevention/slides","13. 管理者の確認 / source: web/src/data/heat-illness-learning/slides.ts","安衛則第612条の2の義務と、2026年指針の推奨を分けて確認します。","法令と通達の区別","yes","no","yes","労働安全衛生規則の一部を改正する省令の施行等について","基発0520第6号","厚生労働省労働基準局長","https://www.mhlw.go.jp/content/11303000/001490911.pdf","PDF 2頁・第3・1・(1)・イ","2026-07-26","sha256:73f5bd365128cf6a033293b6d2e64bbbd469bf38bed1a3e0e73a2a9d3d688615","数値だけを切り出して法令本文または安全保証と誤読させない境界文。","","pending","","pending","no"
"HL-L-006","/heat-illness-prevention/slides","13. 管理者の確認 / source: web/src/data/heat-illness-learning/slides.ts","現行の包括的な指針は、2026年3月18日付け基発0318第1号です。旧基発0420第3号は同日付けで廃止されています。","通達の現行・廃止関係","yes","no","yes","職場における熱中症防止対策のためのガイドライン","基発0318第1号","厚生労働省","https://www.mhlw.go.jp/web/t_doc?dataId=00tc9896&dataType=1&pageNo=1","本文・廃止規定","2026-07-24","pending-source-snapshot","現行指針と旧指針を併記し、廃止済み文書を現行根拠として扱わない。全文snapshot/hashはreview時に固定する。","","pending","","pending","no"
"HL-L-007","/heat-illness-prevention/elearning","問2・現行指針 / source: web/src/data/heat-illness-learning/questions.ts","2026年3月18日付け基発0318第1号","法令理解クイズ","yes","no","yes","職場における熱中症防止対策のためのガイドライン","基発0318第1号","厚生労働省","https://www.mhlw.go.jp/web/t_doc?dataId=00tc9896&dataType=1&pageNo=1","表題・発出日・廃止規定","2026-07-24","pending-source-snapshot","時点を明示した現行性の確認問題。将来改定時は教材更新が必要。","","pending","","pending","no"
"HL-L-008","/heat-illness-prevention/slides","教材の適用範囲 / source: web/src/data/heat-illness-learning/slides.ts","法定教育、資格判定、医学的診断の代替ではありません。公式一次資料と事業場の手順を確認し、作業開始・再開は責任者が現場条件を踏まえて判断してください。","安全境界","yes","no","yes","職場における熱中症防止対策のためのガイドライン","基発0318第1号","厚生労働省","https://www.mhlw.go.jp/web/t_doc?dataId=00tc9896&dataType=1&pageNo=1","教材全体との関係・サイト独自境界","2026-07-24","pending-source-snapshot","補助教材としての位置付けを明示し、画面閲覧を法的適合の証明にしない。","","pending","","pending","no"
"HL-L-009","/heat-illness-prevention/elearning","補助的な知識確認 / source: web/src/app/(main)/heat-illness-prevention/elearning/page.tsx","法定教育、資格判定、医学的診断、実地訓練を代替しません。","安全境界","yes","no","yes","職場における熱中症防止対策のためのガイドライン","基発0318第1号","厚生労働省","https://www.mhlw.go.jp/web/t_doc?dataId=00tc9896&dataType=1&pageNo=1","教材全体との関係・サイト独自境界","2026-07-24","pending-source-snapshot","受講状態は端末内の学習補助であり、法的な修了証明ではない。","","pending","","pending","no"
"HL-L-010","/ky/paper?topic=heat-illness","熱中症KYの開始境界 / source: web/src/components/ky-paper/heat-illness-ky-start.tsx","この導線は入力候補を自動確定せず、AI提案や予報値も帳票へ自動転記しません。現場実測、公式情報、利用者が確定した内容を分けて入力し、提出前の確認画面と承認を通してください。","現場運用への整理","yes","yes","yes","労働安全衛生規則 / 基発0318第1号","第612条の2 / 基発0318第1号","厚生労働省","https://laws.e-gov.go.jp/law/347M50002000032","第612条の2、ガイドラインの作業管理・救急処置","2026-07-24","pending-source-snapshot","KY用紙への転記は法令義務の代替ではなく、事業場手順を確認する補助。","","pending","","pending","no"
