id,slug,titleJa,signPurpose,marketCategory,signFormat,recommendedSize,orientation,commonWording,multilingualPriority,editableNumber,vendorCount,evidenceUrls,constructionRelevance,priority,originalityPlan,generationStatus,qaStatus,publishStatus
"S001","helmet-required","保護帽着用","指示","protective-equipment","平板標識","450×600mm","portrait","保護帽を着用","high","false","3","https://jgc-inc.co.jp/products/detail/195/;https://www.monotaro.com/p/8154/5905/;https://www.signweb.co.jp/product-10442","現場入口・作業区画で必要な保護具を明示","high","市場商品の図版・配置を複製せず、「保護帽着用」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S002","safety-glasses-required","保護メガネ着用","指示","protective-equipment","平板標識","450×600mm","portrait","保護メガネを着用","high","false","2","https://jgc-inc.co.jp/products/detail/148/;https://www.monotaro.com/p/8154/5923/","現場入口・作業区画で必要な保護具を明示","medium","市場商品の図版・配置を複製せず、「保護メガネ着用」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S003","goggles-required","ゴーグル着用","指示","protective-equipment","平板標識","450×600mm","portrait","ゴーグルを着用","high","false","1","https://www.monotaro.com/p/8154/5948/","現場入口・作業区画で必要な保護具を明示","medium","市場商品の図版・配置を複製せず、「ゴーグル着用」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S004","earplugs-required","耳栓着用","指示","protective-equipment","平板標識","450×600mm","portrait","耳栓を着用","high","false","2","https://jgc-inc.co.jp/products/detail/1077/;https://www.monotaro.com/p/8154/5966/","現場入口・作業区画で必要な保護具を明示","medium","市場商品の図版・配置を複製せず、「耳栓着用」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S005","dust-mask-required","防じんマスク着用","指示","protective-equipment","平板標識","450×600mm","portrait","防じんマスクを着用","high","false","2","https://jgc-inc.co.jp/products/detail/1022/;https://www.monotaro.com/g/00996592/","現場入口・作業区画で必要な保護具を明示","medium","市場商品の図版・配置を複製せず、「防じんマスク着用」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S006","respiratory-protection-required","呼吸用保護具着用","指示","protective-equipment","平板標識","450×600mm","portrait","指定の呼吸用保護具を着用","high","false","2","https://jgc-inc.co.jp/products/cassette/480/;https://www.monotaro.com/g/05287412/","現場入口・作業区画で必要な保護具を明示","medium","市場商品の図版・配置を複製せず、「呼吸用保護具着用」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S007","protective-gloves-required","保護手袋着用","指示","protective-equipment","平板標識","450×600mm","portrait","保護手袋を着用","high","false","2","https://jgc-inc.co.jp/products/detail/590/;https://www.monotaro.com/p/8154/6002/","現場入口・作業区画で必要な保護具を明示","medium","市場商品の図版・配置を複製せず、「保護手袋着用」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S008","safety-shoes-required","安全靴着用","指示","protective-equipment","平板標識","450×600mm","portrait","安全靴を着用","high","false","2","https://jgc-inc.co.jp/products/detail/587/;https://www.monotaro.com/p/8154/6142/","現場入口・作業区画で必要な保護具を明示","medium","市場商品の図版・配置を複製せず、「安全靴着用」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S009","full-body-harness-required","フルハーネス着用","指示","protective-equipment","平板標識","450×600mm","portrait","フルハーネスを着用","high","false","2","https://jgc-inc.co.jp/products/detail/548/;https://www.monotaro.com/p/8154/6115/","現場入口・作業区画で必要な保護具を明示","high","市場商品の図版・配置を複製せず、「フルハーネス着用」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S010","fall-restraint-required","墜落制止用器具使用","指示","protective-equipment","平板標識","450×600mm","portrait","墜落制止用器具を使用","high","false","3","https://jgc-inc.co.jp/products/detail/2689/;https://www.monotaro.com/p/8154/6088/;https://www.unit-signs.co.jp/products/illust/s9.php","現場入口・作業区画で必要な保護具を明示","high","市場商品の図版・配置を複製せず、「墜落制止用器具使用」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
