id,category,query_sha256_16,expected_disposition,actual_disposition,retrieved_references,pass,recall_at_5,reciprocal_rank,ndcg_at_10,exact_article_at_1,citation_supported,cited_references,claim_markers_valid,gold_citation_covered,historical_source_verified,temporal_correct,clarification_correct,clarification_choices_match,clarification_slot_match,actual_clarification_slot,abstention_correct,external_outbound,safety_boundary_correct,external_routes_checked,dangerous_miss,failure_codes
exact-01,exact,ccd68e4b87cc1002,answer,answer,安衛法第1条|安衛法第115条の5|安衛法第115条の2|作環測法第1条|粉じん則第1条|安衛則第1条|安衛令第1条|安衛法第24条|安衛法第90条|安衛法第92条,true,1,1,1,true,true,安衛法第1条,true,true,,,,,,,,,,0,false,
exact-02,exact,a6c70c5284af08cc,answer,answer,安衛法第2条|安衛令第2条|作環測法第2条|安衛法第115条の5|安衛法第115条の2|じん肺法第2条|安衛法第24条|安衛法第90条|安衛法第92条|安衛法第8条,true,1,1,1,true,true,安衛法第2条,true,true,,,,,,,,,,0,false,
exact-03,exact,b3f52f582c6e63f0,answer,answer,安衛法第3条|安衛法第115条の5|安衛法第115条の2|安衛法第75条の9|安衛法第75条の10|安衛令第3条|作環測法第3条|安衛法第24条|安衛法第90条|安衛法第92条,true,1,1,1,true,true,安衛法第3条,true,true,,,,,,,,,,0,false,
exact-04,exact,dc0096af257fcfe1,answer,answer,安衛法第4条|安衛法第115条の5|作環測法第4条|安衛法第115条の2|安衛法第75条の9|安衛法第75条の10|安衛令第4条|安衛法第24条|安衛法第90条|安衛法第92条,true,1,1,1,true,true,安衛法第4条,true,true,,,,,,,,,,0,false,
exact-05,exact,3f7ae7adb0fcd7e8,answer,answer,安衛法第10条|じん肺法第10条|安衛法第115条の5|安衛法第115条の2|安衛法第75条の9|安衛法第75条の10|安衛令第10条|安衛法第24条|安衛法第90条|安衛法第92条,true,1,1,1,true,true,安衛法第10条,true,true,,,,,,,,,,0,false,
exact-06,exact,588b6ab1cb9306b8,answer,answer,安衛法第12条|安衛法第12条の2|安衛法第115条の5|安衛法第115条の2|安衛法第75条の9|安衛法第75条の10|安衛令第12条|安衛法第24条|安衛法第90条|安衛法第92条,true,1,1,1,true,true,安衛法第12条,true,true,,,,,,,,,,0,false,
exact-07,exact,e34490e21adb990a,answer,answer,安衛法第13条|安衛法第13条の3|安衛法第13条の2|安衛法第115条の5|安衛法第115条の2|安衛法第75条の9|安衛法第75条の10|安衛令第13条|安衛法第24条|安衛法第90条,true,1,1,1,true,true,安衛法第13条,true,true,,,,,,,,,,0,false,
exact-08,exact,673f9072a6455a13,answer,answer,安衛法第14条|安衛法第112条の2|安衛法第76条|安衛法第115条の5|安衛法第115条の2|安衛令第14条|安衛法第72条|安衛法第119条|安衛法第112条|安衛法第24条,true,1,1,1,true,true,安衛法第14条,true,true,,,,,,,,,,0,false,
exact-09,exact,d97f6a1edb433d29,answer,answer,安衛法第57条|安衛法第57条の3|安衛法第57条の5|安衛法第57条の4|安衛法第57条の2|安衛法第115条の5|安衛法第115条の2|安衛法第75条の9|安衛法第75条の10|安衛法第24条,true,1,1,1,true,true,安衛法第57条,true,true,,,,,,,,,,0,false,
exact-10,exact,61bfaf564087c26f,answer,answer,安衛法第57条の2|安衛法第57条|安衛法第115条の5|安衛法第115条の2|安衛法第75条の9|安衛法第75条の10|安衛法第24条|安衛法第90条|安衛法第92条|安衛法第8条,true,1,1,1,true,true,安衛法第57条の2,true,true,,,,,,,,,,0,false,
exact-11,exact,c6a38e3a3ab7d718,answer,answer,安衛法第57条の3|安衛法第57条|安衛法第115条の5|安衛法第115条の2|安衛法第75条の9|安衛法第75条の10|安衛法第24条|安衛法第90条|安衛法第92条|安衛法第8条,true,1,1,1,true,true,安衛法第57条の3,true,true,,,,,,,,,,0,false,
exact-12,exact,ebd932541b5dc030,answer,answer,安衛法第59条|安衛法第115条の5|安衛法第115条の2|安衛法第75条の9|安衛法第75条の10|安衛法第24条|安衛法第90条|安衛法第92条|安衛法第8条|安衛法第74条の2,true,1,1,1,true,true,安衛法第59条,true,true,,,,,,,,,,0,false,
exact-13,exact,f84b22511656acbe,answer,answer,安衛法第60条|安衛令第19条|安衛法第60条の2|安衛法第115条の5|安衛法第115条の2|安衛法第75条の9|安衛法第75条の10|安衛法第24条|安衛法第90条|安衛法第92条,true,1,1,1,true,true,安衛法第60条,true,true,,,,,,,,,,0,false,
exact-14,exact,5224ef35cc90deea,answer,answer,安衛法第61条|安衛法第115条の5|安衛法第115条の2|安衛法第75条の9|安衛法第75条の10|安衛法第24条|安衛法第90条|安衛法第92条|安衛法第8条|安衛法第74条の2,true,1,1,1,true,true,安衛法第61条,true,true,,,,,,,,,,0,false,
exact-15,exact,4f5f673f4e3740b4,answer,answer,安衛法第65条|安衛法第65条の3|安衛法第65条の4|安衛法第65条の2|安衛法第93条|安衛法第115条の5|安衛法第115条の2|安衛法第75条の9|安衛法第75条の10|安衛法第24条,true,1,1,1,true,true,安衛法第65条,true,true,,,,,,,,,,0,false,
exact-16,exact,8cff87ab120802f4,answer,answer,安衛法第66条の8|安衛法第66条の8の2|安衛法第66条の8の4|安衛法第66条の8の3|安衛法第66条|安衛法第66条の9|安衛法第105条|安衛法第115条の5|安衛法第115条の2|安衛法第120条,true,1,1,1,true,true,安衛法第66条の8,true,true,,,,,,,,,,0,false,
exact-17,exact,a086f2c24bba4186,answer,answer,安衛法第66条の10|安衛法第66条|安衛法第115条の5|安衛法第115条の2|安衛法第75条の9|安衛法第75条の10|安衛法第24条|安衛法第90条|安衛法第92条|安衛法第8条,true,1,1,1,true,true,安衛法第66条の10,true,true,,,,,,,,,,0,false,
exact-18,exact,4d0efc8a05a78814,answer,answer,安衛法第88条|安衛法第115条の5|安衛法第115条の2|安衛法第75条の9|安衛法第75条の10|安衛法第24条|安衛法第90条|安衛法第92条|安衛法第8条|安衛法第74条の2,true,1,1,1,true,true,安衛法第88条,true,true,,,,,,,,,,0,false,
