id,surface,category,sequence,query,top5,required_retrieved,primary_reciprocal_rank,fixture,result,note
AFRAG-001-electric-qualification-broad,rag,broad|qualification|education|condition-missing,turn1,"電気作業の資格は？","電気工事士法第3条|電気工事士法第2条|安衛法第59条|安衛則第36条|安衛法第36条",4/4,1.0000,answer-first-holdout-v1,PASS,answer first then one clarification
AFRAG-002-electric-work-chief-followup-resolved,rag,follow-up|multi-turn|work-chief|qualification,turn2-after-AFRAG-001,"作業主任者 → 電気作業で作業主任者の選任が必要か","安衛法第14条|安衛令第6条|安衛則第350条|安衛法第59条|安衛則第36条",3/3,1.0000,answer-first-holdout-v1,PASS,electric context retained; no oxygen-deficiency organic-solvent or asbestos leap
AFRAG-003-forklift-qualification-broad,rag,broad|qualification|education|condition-missing,standalone,"フォークリフトの資格は？","安衛法第59条|安衛則第36条|安衛法第61条|安衛令第20条|安衛則第41条",5/5,1.0000,answer-first-holdout-v1,PASS,maximum-load branches retrieved before clarification
AFRAG-004-scaffold-handrail,rag,colloquial|condition-branch,standalone,"足場の手すり高さは？","安衛則第563条|安衛則第552条|安衛則第518条|安衛則第519条|安衛則第520条",2/2,1.0000,answer-first-holdout-v1,PASS,scaffold and working-platform provisions
AFRAG-005-handrail-ambiguous,rag,ambiguous|condition-missing,standalone,"手すりは？","安衛則第563条|安衛則第552条|安衛則第575条の6|安衛則第653条|安衛則第519条",2/2,1.0000,answer-first-holdout-v1,PASS,best provisional scaffold answer before one clarification
AFRAG-006-opening-handrail,rag,colloquial|condition-specified,standalone,"開口部の手すりは？","安衛則第519条|安衛則第518条|安衛則第520条|安衛則第521条|安衛則第552条",1/1,1.0000,answer-first-holdout-v1,PASS,opening context overrides generic scaffold branch
AFRAG-007-organic-solvent-indoor,rag,colloquial|condition-specified|surrounding-law,standalone,"有機溶剤を屋内で使う","有機則第5条|有機則第6条|有機則第8条|有機則第9条|有機則第25条",4/4,1.0000,answer-first-holdout-v1,PASS,main ventilation branches retrieved
AFRAG-008-special-organic-solvent-surrounding-law,rag,surrounding-law|compound,standalone,"特別有機溶剤を屋内で使う","有機則第5条|有機則第6条|有機則第8条|有機則第9条|特化則第38条の8",2/2,1.0000,answer-first-holdout-v1,PASS,cross-hierarchy surrounding provision retrieved
AFRAG-009-aerial-work-platform-broad,rag,broad|qualification|education|condition-branch,standalone,"高所作業車は特別教育いる？","安衛則第36条|安衛法第59条|安衛令第10条|安衛法第61条|安衛令第20条",5/5,0.3333,answer-first-holdout-v1,PASS,2m and 10m branches covered
AFRAG-010-forklift-typo,rag,typo|qualification|education,standalone,"フォークリフ卜の資格は？","安衛法第59条|安衛則第36条|安衛法第61条|安衛令第20条|安衛則第41条",2/2,0.5000,answer-first-holdout-v1,PASS,lookalike character normalized
AFRAG-011-organic-solvent-typo,rag,typo|colloquial|surrounding-law,standalone,"有機ようざいを屋内で使う","有機則第5条|有機則第6条|有機則第8条|有機則第9条|安衛法第66条",4/4,1.0000,answer-first-holdout-v1,PASS,phonetic typo normalized
AFRAG-012-old-kanji-law-and-item,rag,abbreviation|old-kanji|kanji-number|education|exact-item,standalone,"安衞則第三十六条第四号","安衛則第36条|安衛則第336条|安衛法第36条|特化則第36条|有機則第36条",1/1,1.0000,answer-first-holdout-v1,PASS,law abbreviation old glyph and item syntax normalized
AFLAW-001-electric-qualification-natural,law-search,broad|qualification|education|condition-missing,turn1,"電気作業の資格は？","安衛法第59条|安衛則第36条|電気工事士法第3条|電気工事士法第2条|安衛法第61条",4/4,1.0000,answer-first-holdout-v1,PASS,natural-language law search
AFLAW-002-electric-work-chief-natural,law-search,follow-up|multi-turn|work-chief|qualification,turn2-after-AFLAW-001,"作業主任者 → 電気作業で作業主任者の選任が必要か","安衛法第14条|安衛令第6条|安衛則第350条|派遣法第45条第3項|安衛則第16条",3/3,1.0000,answer-first-holdout-v1,PASS,resolved follow-up query evaluated without category leap
AFLAW-003-scaffold-handrail-natural,law-search,colloquial|condition-branch,standalone,"足場の手すり高さは？","安衛則第563条|安衛則第552条|安衛則第519条|建災防規程第11条|安衛則第567条",2/2,1.0000,answer-first-holdout-v1,PASS,natural-language primary provisions first
AFLAW-004-organic-solvent-indoor-natural,law-search,colloquial|condition-specified|surrounding-law,standalone,"有機溶剤を屋内で使う","有機則第5条|有機則第6条|有機則第8条|有機則第9条|有機則第16条の2",4/4,1.0000,answer-first-holdout-v1,PASS,related control provisions retrieved
AFLAW-005-forklift-qualification-natural,law-search,broad|qualification|education|condition-missing,standalone,"フォークリフトの資格は？","安衛法第59条|安衛則第36条|安衛法第61条|安衛令第20条|安衛則第41条",5/5,1.0000,answer-first-holdout-v1,PASS,education and employment restriction hierarchy
AFLAW-006-old-kanji-law-and-item,law-search,abbreviation|old-kanji|kanji-number|education|exact-item,standalone,"安衞則第三十六条第四号","安衛則第36条|安衛則第39条|安衛則第151条の67|安衛則第539条の2|酸欠則第6条",1/1,1.0000,answer-first-holdout-v1,PASS,exact item query normalized
SUMMARY,all,fixed-new-holdout,all-18,"18 fixed holdout cases / 54 required evidence","existing 2026-08-02 220-case gold and checksum unchanged",54/54,0.9352,"canonical_sha256=5b290c555603783c69af34decc9e747e0149d892992ed94c9a96c175fb9d73d2;file_sha256=7e2a70878db0cfc79d8cf69fc6fbe0a3322f74d48818c9642f6b3811510a8ef1",PASS,21/21 holdout tests passed on 2026-08-08
SUMMARY-FIXED-102,rag,existing-fixed-evaluation,102-retrieval-plus-22-safety,"existing fixed retrieval and safety questions","Recall@5 102/102|safety abstention 22/22|Citation@1 80.4%|Layer2 FP 0%",102/102,0.8757,rag-100q-pre-task-baseline,PASS,124/124 overall; existing questions and gold unchanged in this task
SUMMARY-FROZEN-220,rag,independent-frozen-evaluation,220-fixed,"2026-08-02 frozen evaluation; gold/checksum unchanged","Recall@5 100% (140 retrieval cases)|citation support 100%|dangerous misses 0|10 historical source-unavailable cases safely abstained",140/140 retrieval cases,0.9776,checksum=6a3204bb4d029ded7e5ea9bf23bfe5fd843bfbed6334fb9ba08cba4fc27eff8d,PASS_WITH_10_SOURCE_GAPS,"overall passed 210/220; answer correctness 95.45%; exact article Top-1 135/140 (96.43%); historical gold not rewritten"
