"sourceId","sourceType","title","publisher","url","publishedAt","updatedAt","checkedAt","applicableDate","finalOrPreliminary","locator","claimIds","checksum","status"
"LAW-EGOV-001","law","労働安全衛生法","e-Gov法令検索","https://laws.e-gov.go.jp/law/347AC0000000057","1972-06-08","2026-04-01","2026-08-27T00:00:00+09:00","2026-08-27","final","第21条第2項、第26条、第27条、第42条、第59条第3項（e-Gov API v2 asof=2026-08-27）","C-LAW-001|C-LAW-011|C-LAW-014","sha256:eb4f4b55e2422d99f230174275908b2a9dea2505ff55a01c391a02a55522fe41","verified"
"LAW-EGOV-002","law","労働安全衛生法施行令","e-Gov法令検索","https://laws.e-gov.go.jp/law/347CO0000000318","1972-08-19","2026-04-01","2026-08-27T00:00:00+09:00","2026-08-27","final","第13条第3項第28号（e-Gov API v2 asof=2026-08-27）","C-LAW-011","sha256:8daf8ac54d46c6953b65fbcd5610f551af6096013f3462e85436dd8295e73c8d","verified"
"LAW-EGOV-003","law","労働安全衛生規則","e-Gov法令検索","https://laws.e-gov.go.jp/law/347M50002000032","1972-09-30","2026-08-01","2026-08-27T00:00:00+09:00","2026-08-27","final","第36条第41号、第38条、第518〜521条、第524条、第526〜528条、第552条、第561条の2、第563〜568条（e-Gov API v2 asof=2026-08-27）","C-LAW-002|C-LAW-003|C-LAW-004|C-LAW-005|C-LAW-006|C-LAW-007|C-LAW-008|C-LAW-009|C-LAW-010|C-LAW-014|C-LAW-016","sha256:858e9ee1523e12ffed0e2d7755e666d73e3789e2d605a6d42914841b14109399","verified"
"LAW-MHLW-004","law","墜落制止用器具の規格（厚生労働省告示第11号）","厚生労働省","https://www.mhlw.go.jp/web/t_doc?dataId=74ab6770&dataType=0&pageNo=1","2019-01-25","2019-07-01","2026-08-27T00:00:00+09:00","2019-02-01","final","第1条第7・8号、第2条、第8・9条、附則","C-LAW-012|C-LAW-013|C-LAW-017|SCI-FALL-001","sha256:2151660544c1485db1dd06a94dc270860ab0113c200b64225cabbad332249150","verified"
"LAW-MHLW-005","law","安全衛生特別教育規程","厚生労働省","https://www.mhlw.go.jp/web/t_doc?dataId=74085000&dataType=0&pageNo=1","1972-09-30","2019-02-01","2026-08-27T00:00:00+09:00","2019-02-01","final","第24条第1〜3項","C-LAW-015","sha256:82d1301b175277104c39ec7b8a25e85c95a1c481d9b3368d8f84ab6a1c587151","verified"
"GUIDE-MHLW-001","government-guidance","墜落制止用器具の安全な使用に関するガイドライン","厚生労働省","https://www.mhlw.go.jp/web/t_doc?dataId=00tc4287&dataType=1&pageNo=1","2018-06-22","","2026-08-27T00:00:00+09:00","2019-02-01","final","第1、第3〜8","C-GUIDE-001|C-GUIDE-002|C-GUIDE-003|C-GUIDE-004|C-GUIDE-005|SCI-HIER-001|SCI-HIER-002|SCI-FALL-001|SCI-FALL-002|SCI-INSP-001|SCI-INSP-002|SCI-RETIRE-001","sha256:56d3ad7b71351929e2b3c0e2650ca867f0775aae71853d1fb37fc8c03429c4e5","verified"
"GUIDE-MHLW-002","government-guidance","墜落制止用器具に係る質疑応答集","厚生労働省","https://www.mhlw.go.jp/web/t_doc?dataId=00tc8681&dataType=1&pageNo=1","","2023-12-20","2026-08-27T00:00:00+09:00","2026-08-27","final","問2〜問8","C-LAW-013|C-LAW-014|C-LAW-017|C-GUIDE-002|C-GUIDE-005|SCI-RETIRE-001","sha256:7b74d6d54f2407fbd3714ccb3ef62e649bbce06228daae9af9148c9f6d380950","verified"
"LAW-MHLW-006","law","足場からの墜落防止措置を強化する労働安全衛生規則の一部改正","厚生労働省","https://www.mhlw.go.jp/content/001257200.pdf","2023-03-14","","2026-08-27T00:00:00+09:00","2024-04-01","final","改正省令・第561条の2、第567条、第568条","C-LAW-009|C-LAW-010","sha256:8e235e7c21bbfeaf1079d88396d5715af736edd6595313173a5f387cbf67fc88","verified"
"GUIDE-MHLW-003","government-guidance","足場からの墜落・転落災害防止総合対策推進要綱","厚生労働省","https://www.mhlw.go.jp/content/001257202.pdf","2023-03-14","","2026-08-27T00:00:00+09:00","2024-04-01","final","第2以降","C-GUIDE-006","sha256:a1e2b7d0ba21311a7aa044ef4bc842b15e9c3e1234f8e5412655b455242d2665","verified"
"STAT-H28-FINAL-XLS","statistics","平成28年労働災害発生状況（確定・分析用Excel）","厚生労働省","https://www.mhlw.go.jp/bunya/roudoukijun/anzeneisei11/rousai-hassei/xls/16_kakutei.xls","","","2026-08-27T00:00:00+09:00","2016-12-31","final","死亡災害・死傷災害（平成28年、業種・事故の型別）の建設業×墜落・転落。対象年2016年、全国、確定、単位: 人、分母: なし（件数）。死亡134人（死亡災害報告）、休業4日以上死傷5,184人（労働者死傷病報告、死亡を含む）。COVID-19罹患災害: 含まない（流行前）","CLM-STAT-004","sha256:6a25c13337b52e4c7b6ec2a2c6f911e2194dbeb5863a6c4ae7a0f09b00c05bcf","verified"
