id,slug,titleJa,prompt,generatedAt,generationCount,regenerationReasons,sourceFile,checksum,reviewedAt,reviewer,anatomyQa,ppeQa,equipmentQa,marketFitQa,textFreeQa,stickFigureQa,svgPersonQa,externalLogoQa,themeMatchQa,textSpaceQa,rightsStatus,publishStatus
"S001","helmet-required","保護帽着用","日本の建設現場の安全看板用、テーマは「保護帽を正しく着用」。自然な体格の成人作業員が、あご紐を締めたヘルメットと反射ベストを正しく着用する縦長構図で、広い余白を残す。写実寄りの鮮明なデジタルイラスト、太い輪郭、高コントラスト、簡潔な背景、文字・数字・ロゴ・透かしなし。","2026-08-27T17:40:07.339Z","1","","public/safety-images/library/originals/helmet-required.png","34bcfea603f43c4cbbee2e8429c66c4ccce8e1b00f2b52ac257d3a5d1f5e2cdb","2026-08-28T12:00:00.000+09:00","independent_final_review read-only exact-100 visual review plus corrective re-review","pass","pass","not-applicable","pass","pass","pass","pass","pass","pass","pass","portal-owned-commercial-editable","published"
"S002","safety-glasses-required","保護メガネ着用","日本の建設現場の安全看板用、テーマは「保護メガネ着用」。ヘルメットと透明な保護メガネを正しく着けた自然な成人作業員を縦長に大きく描き、上部に広い余白を残す。写実寄りの鮮明なデジタルイラスト、太い輪郭、青の補助色、簡潔な背景、文字なし、数字・ロゴ・透かしなし。","2026-08-27T18:34:52.880Z","1","","public/safety-images/library/originals/safety-glasses-required.png","86f2da3233e39b704c3e02356ec89b7ffb29dcdcd45bebc69dc65977233a19dd","2026-08-28T12:00:00.000+09:00","independent_final_review read-only exact-100 visual review plus corrective re-review","pass","pass","not-applicable","pass","pass","pass","pass","pass","pass","pass","portal-owned-commercial-editable","published"
"S003","goggles-required","ゴーグル着用","日本の建設現場の安全看板用、テーマは「ゴーグル着用」。密閉型ゴーグルを正しく着けた自然な成人作業員の上半身を縦長に描き、上部に広い余白を残す。写実寄りの鮮明なデジタルイラスト、太い輪郭、青の補助色、簡潔な背景、文字なし、数字・ロゴ・透かしなし。","2026-08-27T18:35:12.894Z","1","","public/safety-images/library/originals/goggles-required.png","c0d0c9778db09a2998fbd05a568580582384421eb45437b11259870c63ce838b","2026-08-28T12:00:00.000+09:00","independent_final_review read-only exact-100 visual review plus corrective re-review","pass","pass","not-applicable","pass","pass","pass","pass","pass","pass","pass","portal-owned-commercial-editable","published"
"S004","earplugs-required","耳栓着用","日本の建設現場の安全看板用、テーマは「耳栓着用」。ヘルメット姿の自然な成人作業員が耳栓を正しく装着する横顔を縦長に分かりやすく描き、上部に広い余白を残す。写実寄りの鮮明なデジタルイラスト、太い輪郭、高コントラスト、簡潔な背景、文字なし、数字・ロゴ・透かしなし。","2026-08-27T18:35:31.174Z","1","","public/safety-images/library/originals/earplugs-required.png","dd5a3e405b0ef714a50d3805a55e0f14f0495361735665bf81c11196fc8570e7","2026-08-28T12:00:00.000+09:00","independent_final_review read-only exact-100 visual review plus corrective re-review","pass","pass","not-applicable","pass","pass","pass","pass","pass","pass","pass","portal-owned-commercial-editable","published"
"S005","dust-mask-required","防じんマスク着用","日本の建設現場の安全看板用、テーマは「防じんマスク着用」。ヘルメットと粒子用防じんマスクを隙間なく正しく着けた自然な成人作業員を縦長に描き、上部に広い余白を残す。写実寄りの鮮明なデジタルイラスト、太い輪郭、高コントラスト、簡潔な背景、文字なし、数字・ロゴ・透かしなし。","2026-08-27T18:35:49.613Z","1","","public/safety-images/library/originals/dust-mask-required.png","1f86b04f20cbddc4ecfef4ac0c99403c688bb44c4dcdc48b0053fb96be8667f3","2026-08-28T12:00:00.000+09:00","independent_final_review read-only exact-100 visual review plus corrective re-review","pass","pass","not-applicable","pass","pass","pass","pass","pass","pass","pass","portal-owned-commercial-editable","published"
"S006","respiratory-protection-required","呼吸用保護具着用","日本の建設現場の安全看板用、テーマは「呼吸用保護具着用」。交換式フィルター付き半面形マスクを正しく着けた自然な成人作業員を縦長に描き、上部に広い余白を残す。写実寄りの鮮明なデジタルイラスト、太い輪郭、高コントラスト、簡潔な背景、文字なし、数字・ロゴ・透かしなし。","2026-08-27T18:36:06.833Z","1","","public/safety-images/library/originals/respiratory-protection-required.png","924f73a6575ca60bfd7fc3783cdec4c8adda73d32f8266b06671afa7576ce52b","2026-08-28T12:00:00.000+09:00","independent_final_review read-only exact-100 visual review plus corrective re-review","pass","pass","not-applicable","pass","pass","pass","pass","pass","pass","pass","portal-owned-commercial-editable","published"
"S007","protective-gloves-required","保護手袋着用","日本の建設現場の安全看板用、テーマは「保護手袋着用」。自然な成人作業員が両手に作業用保護手袋を正しく着け、手を見やすく示す縦長構図で上部に広い余白を残す。写実寄りの鮮明なデジタルイラスト、太い輪郭、青の補助色、簡潔な背景、文字なし、数字・ロゴ・透かしなし。","2026-08-27T18:36:29.373Z","1","","public/safety-images/library/originals/protective-gloves-required.png","5d00f37a9fc63a3ce62c7b68cb937b3416b520fbc77e4da792a1ab9daa63496c","2026-08-28T12:00:00.000+09:00","independent_final_review read-only exact-100 visual review plus corrective re-review","pass","pass","not-applicable","pass","pass","pass","pass","pass","pass","pass","portal-owned-commercial-editable","published"
"S008","safety-shoes-required","安全靴着用","日本の建設現場の安全看板用、テーマは「安全靴着用」。自然な成人作業員の正しく履いた安全靴と足元を主役にした縦長構図で、上部に広い余白を残す。写実寄りの鮮明なデジタルイラスト、太い輪郭、青の補助色、簡潔な背景、文字なし、数字・ロゴ・透かしなし。","2026-08-27T18:36:48.480Z","1","","public/safety-images/library/originals/safety-shoes-required.png","d350e513f719296ea1eaefdc8a25a1007c6ab2998103ad4c49e5c86e1c318b80","2026-08-28T12:00:00.000+09:00","independent_final_review read-only exact-100 visual review plus corrective re-review","pass","pass","not-applicable","pass","pass","pass","pass","pass","pass","pass","portal-owned-commercial-editable","published"
"S009","full-body-harness-required","フルハーネス着用","日本の建設現場の安全看板用、テーマは「フルハーネス着用」。自然な成人作業員が肩・胸・腿ベルトと背面D環のあるフルハーネスを正しく着ける縦長全身構図で、上部に広い余白を残す。写実寄りの鮮明なデジタルイラスト、太い輪郭、高コントラスト、文字なし、数字・ロゴ・透かしなし。","2026-08-27T18:37:21.824Z","1","","public/safety-images/library/originals/full-body-harness-required.png","e7781e731c0d49738bc5ea2e9c097ad767428e29ed8404926b12a9c75d9632c6","2026-08-28T12:00:00.000+09:00","independent_final_review read-only exact-100 visual review plus corrective re-review","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","portal-owned-commercial-editable","published"
"S010","fall-restraint-required","墜落制止用器具使用","この安全看板用イラストを修正。一般的な単管手すりへの接続を削除し、ランヤードを頭上の構造鋼へ設けた明確な専用アンカーに正しく接続する。人物・フルハーネス・広い文字余白を保ち、文字・数字・ロゴ・透かしなし。","2026-08-28T00:00:00.000Z","3","Independent review found the lanyard connected to a general scaffold handrail.;The first corrective edit was not retained as a releasable local master; a second controlled edit produced the approved dedicated overhead anchor.","public/safety-images/library/originals/fall-restraint-required.png","f0668aac17e6e572572d723adb76cac22b1c9a4b648b05ec921885f3d1bb21ce","2026-08-28T12:00:00.000+09:00","independent_final_review read-only exact-100 visual review plus corrective re-review","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","portal-owned-commercial-editable","published"
"S011","ppe-required","保護具着用","日本の建設現場の安全看板用、テーマは「指定の保護具を着用」。ヘルメット、保護メガネ、反射ベスト、手袋、安全靴を正しく着けた自然な成人作業員を縦長全身で描き、上部に広い余白を残す。写実寄りの鮮明なデジタルイラスト、太い輪郭、青の補助色、文字なし、数字・ロゴ・透かしなし。","2026-08-27T18:38:03.945Z","1","","public/safety-images/library/originals/ppe-required.png","d33fd2cf616cdc5f64bb488fdc473c4e2bb768e18ea3c379ee6d3205f8436e14","2026-08-28T12:00:00.000+09:00","independent_final_review read-only exact-100 visual review plus corrective re-review","pass","pass","not-applicable","pass","pass","pass","pass","pass","pass","pass","portal-owned-commercial-editable","published"
"S012","complete-ppe-required","保護具完全着用","日本の建設現場の安全看板用、テーマは「保護具完全着用」。自然な頭身の成人女性が無地のヘルメット、あご紐、保護メガネ、長袖、反射ベスト、手袋、安全靴を正しく着けた写実寄りの縦長全身構図で上部に広い余白を残す。太い輪郭、簡潔な白背景、アニメ調なし、文字なし、数字・記号・ロゴ・透かしなし。","2026-08-27T19:06:09.217Z","2","初回候補が過度なアニメ調で市場看板としての写実性が不足したため再生成","public/safety-images/library/originals/complete-ppe-required.png","3122295cfa77f55dc7fea54528e395ebffbf0370be1425632ffcda6cc5605378","2026-08-28T12:00:00.000+09:00","independent_final_review read-only exact-100 visual review plus corrective re-review","pass","pass","not-applicable","pass","pass","pass","pass","pass","pass","pass","portal-owned-commercial-editable","published"
"S013","protective-clothing-required","防護服着用","日本の建設現場の安全看板用、テーマは「防護服着用」。フード付き防護服、手袋、保護眼鏡、適切なマスクを隙間なく着けた成人作業員を縦長全身で描き、上部に広い余白を残す。写実寄りの鮮明なデジタルイラスト、太い輪郭、簡潔な背景、文字なし、数字・ロゴ・透かしなし。","2026-08-27T18:41:20.793Z","1","","public/safety-images/library/originals/protective-clothing-required.png","4fe5cae296caa0adf26db459e5410daaf2df9fe171dca8be94fa7b35b16aaf75","2026-08-28T12:00:00.000+09:00","independent_final_review read-only exact-100 visual review plus corrective re-review","pass","pass","not-applicable","pass","pass","pass","pass","pass","pass","pass","portal-owned-commercial-editable","published"
"S014","life-jacket-required","救命胴衣着用","日本の水辺工事の安全看板用、テーマは「救命胴衣着用」。自然な頭身の成人女性が無地のヘルメットと、胸・腰のバックルを締めた救命胴衣を正しく着け、水辺から離れて立つ写実寄りの縦長構図で上部に広い余白を残す。太い輪郭、簡潔な背景、アニメ調なし、文字なし、数字・記号・ロゴなし。","2026-08-27T19:06:30.044Z","2","初回候補が過度なアニメ調で市場看板としての写実性が不足したため再生成","public/safety-images/library/originals/life-jacket-required.png","f60288ae9325136a9c8ca3e53454c6b85c2f25184848176c0b60562dba4e60bc","2026-08-28T12:00:00.000+09:00","independent_final_review read-only exact-100 visual review plus corrective re-review","pass","pass","not-applicable","pass","pass","pass","pass","pass","pass","pass","portal-owned-commercial-editable","published"
"S015","mask-required","マスク着用","日本の建設現場の安全看板用、テーマは「マスク着用」。年長の成人作業員が鼻と口を覆う清潔なマスクとヘルメットを正しく着ける縦長上半身構図で、上部に広い余白を残す。写実寄りの鮮明なデジタルイラスト、太い輪郭、簡潔な背景、文字なし、数字・ロゴ・透かしなし。","2026-08-27T18:42:01.201Z","1","","public/safety-images/library/originals/mask-required.png","835ac4c9973cb1963ee61e538c6afa602194d1f776a80a46f9335bdf68a294d3","2026-08-28T12:00:00.000+09:00","independent_final_review read-only exact-100 visual review plus corrective re-review","pass","pass","not-applicable","pass","pass","pass","pass","pass","pass","pass","portal-owned-commercial-editable","published"
"S016","no-entry","立入禁止","日本の工事現場の禁止看板用、テーマは「立入禁止」。仮設バリケードの手前で成人作業員が止まり、境界と進入不可が一目で分かる正方形構図で、広い余白を残す。写実寄りの鮮明なデジタルイラスト、太い輪郭、赤は補助色、簡潔な背景、文字・数字・ロゴ・既存ピクトの模倣なし。","2026-08-27T17:51:00.795Z","2","試作hard gateで境界と進入不可の明瞭性が不足","public/safety-images/library/originals/no-entry.png","d61624eb2412901ee90e185c14eb6d30b555a912fbd778bc577b11118a746c1d","2026-08-28T12:00:00.000+09:00","independent_final_review read-only exact-100 visual review plus corrective re-review","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","portal-owned-commercial-editable","published"
"S017","authorized-personnel-only","関係者以外立入禁止","日本の工事現場の禁止看板用、テーマは「関係者以外立入禁止」。無地のヘルメットと反射ベストを着けた管理者が、保護具のない来訪者をゲート手前で自然な手の静止動作により止める写実寄りの横長構図で右側に広い余白を残す。太い輪郭、ヘルメットを含め文字なし、数字・記号・ロゴ・透かしなし。","2026-08-27T19:06:49.612Z","2","初回候補のヘルメットに既存標識と誤認し得る記号が現れたため再生成","public/safety-images/library/originals/authorized-personnel-only.png","f4692cdda22ea6844f32fcc954eeee478dabcbc7dd3e83ad9a9eeb24119243ed","2026-08-28T12:00:00.000+09:00","independent_final_review read-only exact-100 visual review plus corrective re-review","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","portal-owned-commercial-editable","published"
"S018","no-access","進入禁止","日本の工事現場の禁止看板用、テーマは「進入禁止」。工事車両用ゲートの手前で歩行者が停止し、閉じたバリケードと進入不可の境界が一目で分かる横長構図で右側に広い余白を残す。鮮明なデジタルイラスト、太い輪郭、赤は補助色、文字なし、数字・ロゴ・透かしなし。","2026-08-27T18:42:49.935Z","1","","public/safety-images/library/originals/no-access.png","4ab6d26af89a97261ec3828bb4a74b5217ad76081c303a2d2bd4277617e41fb8","2026-08-28T12:00:00.000+09:00","independent_final_review read-only exact-100 visual review plus corrective re-review","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","portal-owned-commercial-editable","published"
